Name,Address,Description,Special_Content,Lock_type,Photo
A warning,"4, Presgrave Place, Melbourne, VIC",Head down Howey Place and left into Presgrave - before all the lovely artworks and messages for the future are papered over?,A person who lives in or comes from Melbourne is called a Melbournian,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_499.jpg
Coffee and crowds,"Degraves Street, Melbourne VIC",Degraves has to be the ultimate coffee stop on your street art tour. You may see plenty of others hunting for art here.,"Melbourne is known for its unpredictable weather, and it's often possible to experience four seasons in one day",Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_500.jpg
Hosier Lane,"2, Hosier Lane, Melbourne, VIC",Hosier Lane is the Grandaddy of laneway art commissions in Melbourne and is arguably where the city's street art reputation was honed. It's saturated with colourful creations.,"The maximum temperature every recorded in Melbourne was 46.4 degrees Celsius (115.5 degrees Fahrenheit) in 2009, while the minimum was -2.8 degrees Celsius (28.9 degrees Fahrenheit) all the way back in 1869",Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_502.jpg
Side step,"7, Rutledge Lane, Melbourne, VIC",Take a left at Rutledge Lane where there are lots of interesting things to see. Not sure about this one though!,"Melbourne holds the world record for highest attendance at a cricket match, with a total of 90,800 spectactors back in 1961",Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_503.jpg
Protest (in crochet),"167 Flinders Ln, Melbourne VIC 3000",Hosier Lane attracts many artists who have something to say so keep your eyes wide and your heart open.,Major streets in Melbourne are 99ft wide. This was so a 16-horse carriage could do a U-turn.,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_504.jpg
Food city?,"Oliver Ln, Melbourne VIC 3000",Apparently not all the well-known chefs rendered here are popular with Melbourne's fastidious palates.,Melbourne’s Chinatown is the oldest Chinatown in the Southern Hemisphere,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_505.jpg
Great Scott! ACDC Lane,"CBD, Melbourne VIC 3000","Now here's the whole reason we decided to update our street art route! ACDC Lane is unmissable if you truly want to understand this city, its love of live music and of art.",Melbourne is the city with the most cafes per capita,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_506.jpg
More than music,"Flinders Ln, Melbourne VIC 3000","Home to the much-loved Cherry Bar and a holy site for ACDC fans, yes. But there is more to love here if you care to look.",There are wild penguins in Melbourne!,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_507.jpg
RIP Malcolm,"19 AC/DC La, Melbourne VIC 3000",Did we mention ACDC?,Coffees have different names in Melbourne,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_508.jpg
Tattoo where the (art) is,"22 Duckboard Place, Melbourne VIC","Down on Duckboard Place you'll see what looks like a giant love letter to Melbourne, but there's also a reminder about the forgotten people in our city and everywhere.",St Paul’s Cathedral is made of two different types of stones,Street Art,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/106_509.jpg
Architectural Fragment,"326 Swanston St, Melbourne VIC 3000",Petrus Spronk 1992 sculpture is beloved by Melbourne's skateboard riders. It is also a fun piece of post-modernism quoting the neo-classical facade of the State Library.,“Under the clocks” is a traditional meeting place in Melbourne,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7958.jpg
La Trobe,"State Library, Melbourne VIC 3000","Governor La Trobe by Peter Corlett, 2006. This is the only Peter Corlett sculpture on this walk but he has may more around Melbourne, its suburbs and the rest of the world.",You can find flashing lights embedded in the footpath in Melbourne,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7961.jpg
The Public Purse,"Elizabeth St & Bourke St, Melbourne VIC 3000","In 1994, the City of Melbourne added what was described in the design brief as “unique and distinctive forms of street seating” in the streets, The Public Purse was one of them.",The world’s first feature film was made in Melbourne,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_8097.jpg
Three Businessmen,"173 Swanston St, Melbourne VIC 3004",These figures by Alison Weaver and Paul Quinn were installed in Swanston St. the first public sculpture in Melbourne since Vault was removed from the City Square in 1981,Melbourne was the first city outside of Europe and North America to host the Olympic games,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7956.jpg
Time and Tide,"254 Little Collins St, Melbourne VIC 3000",Akio Makigawa (born Japan 1948 - died in Perth 1999) has public sculptures in most Australian capital cities and several more in Melbourne.,The black box (for planes) was invented in Melbourne,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7957.jpg
Burke and Wills Monument,"College Cres, Parkville VIC 3052",This is the fourth location for that this monument has stood in Melbourne since 1865. It was originally cast in Charles Summers studio in Collins St. now the location of Burlington Chambers,Melbourne’s tram system is the largest in the world,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7965.jpg
Larry La Trobe,"130 Swanston St, Melbourne VIC 3000","Pam Irving’s bronze dog, “Larry La Trobe” was install in 1993 and stolen in 1995. The current sculpture a new edition cast from the original mould.",Lonely Planet’s headquarters are in Melbourne,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7962.jpg
Warin,"Tennis Centre Access Rd, Melbourne VIC 3004","The wooden wombat, “Warin” was carved in situ in 2002 by Des McKenna. Another one for children to climb on.",Melbourne was awarded “most liveable city in the world” for seven years in a row,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7963.jpg
Beyond the Ocean of Existence,"211 Flinders Ln, Melbourne VIC 3000","Loretta Quinn is the brother of Paul Quinn one of the sculptors of The Three Businessmen. Nearby there are painted pole by indigenous artists, Maree Clarke and Sonja Hodge",Melbourne was the capital city of Australia for 26 years between 1901 and 1927 before the capital shifted to Canberra,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7964.jpg
3 Mice,"206 Flinders St, Melbourne VIC 3004",Along with all the aerosol art there are some unofficial street art sculptures in this lane. You will have to look carefully to find them.,"Melbourne has the largest tram system outside of Europe, and the fourth largest in the world overall",Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7966.jpg
Matthew Flinders Memorial,"202 Flinders St, Melbourne VIC 3000","The sculptor Charles Web Gilbert, like to do everything himself, from the modelling to the casting of the sculptures.",Melbourne was originally named Batmania,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7969.jpg
Forward Surge,"1 City Rd, Southbank VIC 3006",Installed in 1981 this modern fits perfectly into the curved architecture of the Arts Centre and Hamer Hall. The curves also delight children who try to climb them.,The first ever set of traffic lights in Australia was installed in Melbourne,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7968.jpg
Edward VII Memorial,Royal Botanic Gardens Victoria,The sculptor Bertram Mackennal was born in Fitzroy but became Australia's first international art star.,Until the year 1966 pubs in Melbourne closed at 6:00pm,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_7970.jpg
"Vault, Ron Robertson-Swann","111 Sturt St, Southbank VIC 3006",In 1980 this sculpture was in the City Square and Melbourne was divided by the controversy over this sculpture. In 1981 it was moved to Batman Park by the Yarra River.,Melbourne has the highest number of restaurants and cafes per number of people than any other city in the world!,Statue,https://preprod-vwk-maps.s3.amazonaws.com/cg-images/poi/large/2020_8096.jpg
Royal Exhibition Building,"9 Nicholson St, Carlton VIC 3053","The Royal Exhibition Building is a World Heritage-listed building in Melbourne, Victoria, Australia, built in 1879–1880 as part of the international exhibition movement, which presented over 50 exhibitions between 1851 and 1915 around the globe. ","According to the Crimes Act of 1958, if you meet up with a Pirate in Melbourne, you must not trade with them…",Architectural,https://www.historyhit.com/app/uploads/fly-images/5150560/Melbourne-Royal-Exhibition-Building-788x537.jpg
Manchester Unity Building,"220 Collins St, Melbourne VIC 3000","The Manchester Unity Building is an Art Deco Gothic inspired office and retail building in Melbourne, Victoria, Australia, constructed in 1931–32 for the Manchester Unity Independent Order of Oddfellows.",Melbourne is home to the highest Italian and Greek populations in the world outside their own countries,Architectural,https://cdn.theculturetrip.com/wp-content/uploads/2016/06/800px-manchester_unity_building_spire.jpg
Melbourne Town Hall,"130 Swanston St, Melbourne VIC 3000","Melbourne Town Hall is the central city town hall of Melbourne, Victoria, Australia, and is a historic building in the state of Victoria since 1867.","In 1856, Melbourne workers successfully campaigned for the world's first 8-hour work day. All the rest of us are still thankful today!",Architectural,https://whatson.melbourne.vic.gov.au/rails/active_storage/representations/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaEpJaWxrWm1FMlltTTFNQzFpTWpZMUxUUm1NV1F0WVdVMU5DMDBPVGN5TkRJNVltWXhZVFlHT2daRlZBPT0iLCJleHAiOm51bGwsInB1ciI6ImJsb2JfaWQifX0=--9d6b635309fcc61829d6fdbce37b0b211cf9d375/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCam9VY21WemFYcGxYM1J2WDJ4cGJXbDBXd2RwQXVnRGFRSllBZz09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--0a3fe7bfb2cbe4508fa37b15b1e47ccbb206426a/Melbourne%20Town%20Hall%201.jpg
Old Treasury Building,"20 Spring St, East Melbourne VIC 3002","The Old Treasury Building on Spring Street in Melbourne, built 1858-62 as a home for the Treasury Department of the Government of Victoria as well as the Governor In Council, now houses a range of functions, including a museum of Melbourne history, known as Old Treasury Building Museum.","As of the year 2013, around 38% of Melbourne's residents were born overseas",Architectural,https://www.visitvictoria.com/-/media/atdw/melbourne/things-to-do/art-theatre-and-culture/museums/92178e16cd82c9c51a3d9b15a988f18e_1600x1200.jpg
Flinders Street Railway Station,"Flinders St, Melbourne VIC 3000","Flinders Street railway station is located on the corner of Flinders and Swanston streets in the central business district of Melbourne, Victoria, Australia. Opened in 1854, the historic station serves the entire metropolitan rail network, as well as some country services to eastern Victoria.",A person who lives in or comes from Melbourne is called a Melbournian,Architectural,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Flinders_Street_Station_illuminated_at_night.jpg/450px-Flinders_Street_Station_illuminated_at_night.jpg
State Library Victoria,"328 Swanston St, Melbourne VIC 3000","The State Library Victoria is the state library of the Australian state of Victoria. Located in Melbourne, it was established in 1854 as the Melbourne Public Library, making it Australia's oldest public library and one of the first free libraries in the world.","Melbourne is known for its unpredictable weather, and it's often possible to experience four seasons in one day",Architectural,https://upload.wikimedia.org/wikipedia/commons/c/cd/State_Library_of_Victoria_La_Trobe_Reading_room_5th_floor_view.jpg
Government House,"Government House Dr, Melbourne VIC 3004","Government House is the official residence of the governor of Victoria, currently Linda Dessau. It is located in Kings Domain, Melbourne, next to the Royal Botanic Gardens. Government House was opened in 1876, on land that had originally been set aside in 1841.","The maximum temperature every recorded in Melbourne was 46.4 degrees Celsius (115.5 degrees Fahrenheit) in 2009, while the minimum was -2.8 degrees Celsius (28.9 degrees Fahrenheit) all the way back in 1869",Architectural,https://upload.wikimedia.org/wikipedia/commons/6/63/GovernmentHouseMelbourne1_gobeirne.jpg
The ANZ Banking Museum,"380 Collins St, Melbourne VIC 3000","Museum in the City of Melbourne, Victoria","Melbourne holds the world record for highest attendance at a cricket match, with a total of 90,800 spectactors back in 1961",Architectural,https://fastly.4sqi.net/img/general/width960/1935993_lSxnT3rM6kRMxyYBQxyEwUO437SBRoqrjiWgIJKxmlY.jpg
Victoria Barracks,"300 St Kilda Rd, Southbank VIC 3006","Located on St Kilda Road in Melbourne, Australia, Victoria Barracks Melbourne is architecturally and historically significant. It is one of the most impressive 19th century government buildings in Victoria, Australia.",Major streets in Melbourne are 99ft wide. This was so a 16-horse carriage could do a U-turn.,Architectural,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Victoria_Barracks%2C_Melbourne_1872.jpg/1200px-Victoria_Barracks%2C_Melbourne_1872.jpg
St Francis’ Church,"326 Lonsdale St, Melbourne VIC 3000","St Francis' Church on the corner of Lonsdale Street and Elizabeth Street, is the oldest Catholic church in Victoria, Australia. The main body of the church is one of very few buildings in central Melbourne which was built before the Victorian gold rush of 1851.",Melbourne’s Chinatown is the oldest Chinatown in the Southern Hemisphere,Architectural,https://www.mccia.org.au/wp-content/uploads/2015/12/St-Francis-Catholic-Church.jpg
